ws_mb,tech,l3_rlat,l3_wlat,simTicks,cpi,l3_hits,l3_misses,l3_miss_rate,l3_wb_in,host_s
1,sram,40,40,16822153000,21.624528,114740,17685,0.133547,127400,0.52
1,stt,10,35,12864595000,16.537170,114740,17685,0.133547,127400,0.50
2,sram,40,40,32725723000,22.827653,229428,34069,0.129296,258472,0.96
2,stt,10,35,24852725000,17.335885,229428,34069,0.129296,258472,0.95
4,sram,40,40,64532124000,23.510409,458804,66837,0.127153,520616,1.91
4,stt,10,35,48827432000,17.788860,458804,66837,0.127153,520616,1.91
8,sram,40,40,128145032000,23.875157,917556,132373,0.126078,1044904,3.91
8,stt,10,35,96776852000,18.030839,917556,132373,0.126078,1044904,3.88
16,sram,40,40,255375808000,24.063984,1835009,263492,0.125562,2093476,7.81
16,stt,10,35,192681115000,18.156282,1835009,263492,0.125562,2093476,7.86
32,sram,40,40,795252870000,37.685753,0,4195653,1,2097303,22.36
32,stt,10,35,669343557000,31.719114,0,4195653,1,2097303,22.23
64,sram,40,40,1586827635000,37.708055,0,8389957,1,4194455,44.48
64,stt,10,35,1335029815000,31.724541,0,8389957,1,4194455,44.38
